Unnamed: 0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,stiffness_value
7300,-21.47117965,-0.71336034,1.154866245,1.181279301,0.212151352,-0.721149135,0.117227735,0.38593945,0.018658218,0.205287894,-0.046414983,0.322868374,-0.243921252,-0.011237012,-0.002643508,95.05745856
4855,-20.76312901,-1.337889221,0.724823723,-0.162476373,0.287143936,0.112995879,-0.024750769,-0.17113356,0.092816323,-0.209238467,-0.402603852,0.0651633,-0.29238442,-0.06381875,0.169432805,95.02801479
7401,-21.19576219,-0.6300005,0.949514257,-0.82848695,0.119283819,0.335741865,0.034816411,0.006810853,0.273490004,0.024192879,-0.464752411,-0.190311838,-0.198681542,0.027120605,0.146367227,94.90950623
2401,-21.71667852,-1.357866311,0.542759904,0.006067147,0.210340729,0.054481008,-0.004995904,-0.377647789,0.085156133,-0.334753612,-0.282309828,0.036607406,-0.285976614,-0.075592308,0.095199819,94.56228808
2452,-21.78525994,-1.462997909,0.545458014,-0.063312473,0.220550837,-0.057545014,-0.032786959,-0.384260532,0.079629868,-0.357079762,-0.257266333,0.042231337,-0.263486505,-0.106174425,0.163039989,94.47166662
7402,-20.82640217,-0.71333878,1.010740822,-0.828976802,0.244248559,0.525442197,-0.095603084,-0.15910105,0.166696095,0.38470583,-0.500238425,-0.223559188,-0.097637994,0.054409071,0.001906024,94.37419988
7653,-19.37226415,1.337560317,1.544775675,1.113653049,-0.754169949,0.661164952,0.601258816,0.334947771,-0.193572121,-0.273197316,-0.063384712,0.172178618,-0.329378484,0.11905219,-0.061620604,94.35241867
7800,-18.86560392,1.34747406,1.284746771,1.33789604,-0.588829666,0.585119581,0.566765015,-0.262862145,-0.215897853,0.185324456,-0.054558728,0.38011998,0.124625041,0.075944758,0.13316024,94.2832217
5001,-21.48166504,-0.805678806,0.919653264,0.428079072,0.102851452,-0.602156589,0.020224378,0.021936675,0.136167736,-0.042797274,-0.157634334,0.07951389,-0.283209949,-0.064450279,-0.061825258,94.22044913
5450,-21.70674238,-0.977160642,0.614182038,-0.640454885,0.460622915,0.533874355,-0.008725766,-0.056823429,-0.143674683,2.74E-05,-0.266279777,-0.020690965,-0.116199433,0.004873328,0.172711806,94.13414617
